k141,max_score_group,CAT_data,score,gene
k141_9779753,lavidaviridae,nah,0,nah
k141_12310662,NCLDV,nah,2,nah
k141_13581122,NCLDV,nah,2,nah
k141_13771951,NCLDV,nah,2,nah
k141_13219451,NCLDV,nah,2,nah
k141_7981766,NCLDV,nah,2,nah
k141_16130150,NCLDV,nah,2,nah
k141_5816191,NCLDV,nah,2,nah
k141_5082091,NCLDV,nah,2,nah
k141_8701492,NCLDV,nah,2,nah
k141_11968929,NCLDV,nah,2,nah
k141_14138008,lavidaviridae,nah,0,nah
k141_3824080,NCLDV,nah,2,nah
k141_2920126,NCLDV,nah,2,nah
k141_6003813,NCLDV,nah,2,nah
k141_17812032,NCLDV,nah,2,nah
k141_11278269,NCLDV,nah,2,nah
k141_768016,lavidaviridae,nah,0,nah
k141_6589868,NCLDV,nah,2,nah
k141_11089311,NCLDV,nah,2,nah
k141_4220039,NCLDV,nah,2,nah
k141_12018073,NCLDV,nah,2,nah
k141_13664431,NCLDV,nah,2,nah
k141_15110729,NCLDV,nah,2,nah
k141_15113149,NCLDV,nah,2,nah
k141_17451201,NCLDV,nah,2,nah
k141_5175640,NCLDV,nah,2,nah
k141_10425776,NCLDV,nah,2,nah
k141_13483642,NCLDV,nah,2,nah
k141_7923965,NCLDV,nah,2,nah
k141_17885444,NCLDV,nah,2,nah
k141_9378124,NCLDV,nah,2,nah
k141_16950214,lavidaviridae,nah,0,nah
k141_12619868,NCLDV,nah,2,nah
k141_2297248,NCLDV,nah,2,nah
k141_10997165,NCLDV,nah,2,nah
k141_12653549,NCLDV,nah,2,nah
k141_13712832,NCLDV,nah,2,nah
k141_7557981,NCLDV,nah,2,nah
k141_5235783,NCLDV,nah,2,nah
k141_9551541,lavidaviridae,nah,0,nah
k141_12957815,NCLDV,nah,2,nah
k141_7763690,lavidaviridae,nah,0,nah
k141_6481094,NCLDV,nah,2,nah
k141_14983216,lavidaviridae,nah,0,nah
k141_13185996,NCLDV,nah,2,nah
k141_170729,NCLDV,nah,2,nah
k141_9740516,NCLDV,nah,2,nah
k141_15184748,NCLDV,nah,2,nah
k141_11387916,NCLDV,nah,2,nah
k141_13525039,NCLDV,nah,2,nah
k141_2172141,NCLDV,nah,2,nah
k141_16632017,NCLDV,nah,2,nah
k141_1423489,NCLDV,nah,2,nah
k141_15384136,lavidaviridae,nah,0,nah
k141_1986802,NCLDV,nah,2,nah
k141_9012705,NCLDV,nah,2,nah
k141_2311475,lavidaviridae,nah,0,nah
k141_6983662,NCLDV,nah,2,nah
k141_4859525,NCLDV,nah,2,nah
k141_17353298,NCLDV,nah,2,nah
k141_13624046,dsDNAphage,nah,0,nah
k141_5316527,NCLDV,nah,2,nah
k141_2014371,NCLDV,nah,2,nah
k141_4775224,NCLDV,nah,2,nah
k141_12342798,lavidaviridae,nah,0,nah
k141_2700173,NCLDV,nah,2,nah
k141_6697826,NCLDV,nah,2,nah
k141_3441829,NCLDV,nah,2,nah
k141_5792963,NCLDV,nah,2,nah
k141_17051077,NCLDV,nah,2,nah
k141_2956724,lavidaviridae,nah,0,nah
k141_1975735,lavidaviridae,nah,0,nah
k141_17399837,dsDNAphage,nah,0,nah
k141_5873846,lavidaviridae,nah,0,nah
k141_16189722,dsDNAphage,nah,0,nah
k141_8893083,dsDNAphage,nah,0,nah
k141_9379342,dsDNAphage,nah,0,nah
k141_4636124,dsDNAphage,nah,0,nah
k141_5122740,NCLDV,nah,2,nah
k141_10543685,dsDNAphage,nah,0,nah
k141_4397383,ssDNA,nah,0,nah
k141_17804988,dsDNAphage,nah,0,nah
k141_12670156,lavidaviridae,nah,0,nah
k141_4553765,dsDNAphage,nah,0,nah
k141_12000638,dsDNAphage,nah,0,nah
k141_5741980,ssDNA,nah,0,nah
k141_5930278,dsDNAphage,nah,0,nah
k141_7607513,dsDNAphage,nah,0,nah
k141_6342202,dsDNAphage,nah,0,nah
k141_14315916,ssDNA,nah,0,nah
k141_16144830,ssDNA,nah,0,nah
k141_9105928,NCLDV,nah,2,nah
k141_3836062,dsDNAphage,nah,0,nah
k141_9160488,ssDNA,nah,0,nah
k141_15515298,lavidaviridae,nah,0,nah
k141_11349416,dsDNAphage,nah,0,nah
k141_3408575,lavidaviridae,nah,0,nah
k141_13744276,dsDNAphage,nah,0,nah
k141_3784442,lavidaviridae,nah,0,nah
k141_15405578,dsDNAphage,nah,0,nah
k141_15097064,lavidaviridae,nah,0,nah
k141_9965781,lavidaviridae,nah,0,nah
k141_10088073,dsDNAphage,nah,0,nah
k141_12939455,dsDNAphage,nah,0,nah
k141_16160874,dsDNAphage,nah,0,nah
k141_3464633,ssDNA,nah,0,nah
k141_8334120,lavidaviridae,nah,0,nah
k141_13944423,dsDNAphage,nah,0,nah
k141_1000083,nah,placeholder,0,nah
k141_10004117,nah,nah,0,nah
k141_10004176,nah,"root,(no,rank):,1.00,cellular,organisms,(no,rank):,1.00,Bacteria,(superkingdom):,1.00,FCB,group,(clade):,1.00,Bacteroidetes/Chlorobi,group,(clade):,1.00,Bacteroidetes,(phylum):,1.00,Flavobacteriia,(class):,1.00,Flavobacteriales,(order):,1.00,Flavobacteriaceae,(family):,1.00,unclassified,Flavobacteriaceae,(no,rank):,1.00,Flavobacteriaceae,bacterium,TMED42,(species):,1.00",0,nah
k141_10006405,nah,"root,(no,rank):,1.00,cellular,organisms,(no,rank):,0.72",1,TFIIS
k141_10007630,nah,"root,(no,rank):,1.00,cellular,organisms,(no,rank):,0.68,Bacteria,(superkingdom):,0.58,PVC,group,(clade):,0.58,Verrucomicrobia,(phylum):,0.58,unclassified,Verrucomicrobia,(no,rank):,0.58,Verrucomicrobia,bacterium,(species):,0.58",1,MCP
k141_10008235,nah,"root,(no,rank):,1.00,cellular,organisms,(no,rank):,1.00,Eukaryota,(superkingdom):,1.00",0,nah
k141_10010387,nah,"root,(no,rank):,1.00,cellular,organisms,(no,rank):,0.57,Bacteria,(superkingdom):,0.57",0,nah
k141_10011408,nah,nah,0,nah
k141_10012692,nah,"root,(no,rank):,1.00,cellular,organisms,(no,rank):,0.54,Bacteria,(superkingdom):,0.54,FCB,group,(clade):,0.54,Bacteroidetes/Chlorobi,group,(clade):,0.54,Bacteroidetes,(phylum):,0.54,Bacteroidetes,Order,II.,Incertae,sedis,(order):,0.54,Rhodothermaceae,(family):,0.54,unclassified,Rhodothermaceae,(no,rank):,0.54,Rhodothermaceae,bacterium,TMED105,(species):,0.54",0,nah
k141_10014960,nah,"root,(no,rank):,1.00,cellular,organisms,(no,rank):,1.00,Bacteria,(superkingdom):,1.00",0,nah
